Lat,Lon,Order
59.72871575,-43.85010506,1
59.89444804,-43.01514412,2
60.21799073,-42.9272535,3
61.3229974,-42.26258065,4
61.8042839,-41.90003182,5
62.52245787,-41.81214119,6
63.67063353,-40.28504158,7
64.56731901,-39.98841073,8
64.77412531,-39.99939705,9
65.03506044,-39.48303963,10
65.37042067,-39.08036913,11
65.44357546,-37.82792773,12
65.46183228,-36.96000781,13
65.74770221,-35.97123827,14
66.11510081,-35.19120898,15
66.44654285,-34.16948046,16
66.85582631,-33.60917773,17
67.26262911,-32.94999804,18
67.5957525,-32.56547656,19
67.92011379,-31.49980273,20
68.09701607,-29.62114062,21
68.53540276,-26.72074999,22
68.75941146,-25.4353496,23
69.58739544,-23.17216601,24
70.094716,-21.85380663,25
70.55338367,-21.27153124,26
71.68018582,-21.52421679,27
71.9374174,-21.97465624,28
72.45469664,-21.67802538,29
72.97048981,-21.24955859,30
73.18474334,-20.78813281,31
73.69202536,-19.85429491,32
74.14504851,-19.66752734,33
74.29443329,-19.05229296,34
74.66482222,-18.00859179,35
75.03803086,-17.0747539,36
76.51080761,-18.18437304,37
77.23908755,-17.89872851,38
77.65922983,-17.43730273,39
79.24467867,-17.08574023,40
79.63667496,-17.27949911,41
80.76481388,-13.93965536,42
81.44729786,-10.92940146,43
81.73958959,-12.20381552,44
81.94227513,-14.95039755,45
82.64594569,-21.76721738,46
83.08781458,-24.44788144,47
83.45083681,-27.10657285,48
83.60194643,-29.96301816,49
83.69673277,-34.35754941,50
83.59459665,-38.09290097,51
83.34982484,-42.72913144,52
83.15884671,-46.02502988,53
82.76313243,-51.84778378,54
82.40588133,-55.73694394,55
82.00058307,-60.94446347,56
81.56413751,-63.09778378,57
80.8874215,-65.93225644,58
80.48202756,-67.9097955,59
79.97246945,-67.49730691,60
79.28773945,-66.81615457,61
78.59681652,-72.85863504,62
78.07720236,-73.47386941,63
77.30970444,-72.85351212,64
76.35405644,-70.72216446,65
75.97044599,-68.34911759,66
75.87424433,-65.16308243,67
76.05012337,-62.24071915,68
75.76659558,-59.93359024,69
75.34459837,-59.12060196,70
74.42823527,-57.86816056,71
73.49357878,-57.29687149,72
72.54116961,-56.61571915,73
71.39900579,-55.95653946,74
69.9753221,-55.23144181,75
69.18581664,-54.92382462,76
68.30172051,-54.26464493,77
66.81767622,-54.26464493,78
65.33913978,-53.86913712,79
64.60482408,-52.83642228,80
62.54249788,-50.96874649,81
61.47002908,-49.69433243,82
60.61907938,-48.37661233,83
60.53812737,-47.72841897,84
60.38104429,-46.08046975,85
59.98225302,-45.43227639,86
59.79485716,-44.9269053,87
59.72871575,-43.85010506,88